h1_tag,tags
QUOTES TO SCRAPE,"love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
h1_tag,tags
QUOTES TO SCRAPE,"love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
